year,0
1949.0,"Brick 2 x 2 without Bottom Tubes, Slotted (with 1 slot)"
1950.0,"Brick 2 x 2 without Bottom Tubes, Slotted (with 1 slot)"
1953.0,"Brick 1 x 2 without Bottom Tube, Slotted (with 1 slot)"
1954.0,Brick 2 x 4 without Cross Supports
1955.0,"Brick Round 1 x 1 Solid Stud, No Bottom Groove"
1956.0,Brick 1 x 2 without Bottom Tube
1957.0,Brick 1 x 2 without Bottom Tube
1958.0,Brick 1 x 2 without Bottom Tube
1959.0,Slope 45Â° 2 x 1 without Bottom Pin
1960.0,Brick 2 x 4 without Cross Supports
1961.0,Brick 1 x 2 without Bottom Tube
1962.0,Plate 2 x 2
1963.0,Modulex Brick 1 x 2 with LEGO on Stud
1964.0,Brick 1 x 2
1965.0,Plate 2 x 4
1966.0,Brick 2 x 4 without Cross Supports
1967.0,Brick 1 x 2
1968.0,Brick 2 x 4 without Cross Supports
1969.0,Brick 1 x 2
1970.0,Brick 1 x 2
1971.0,Brick 1 x 2
1972.0,Brick 2 x 2 without Inside Ridges
1973.0,Brick 2 x 4 without Cross Supports
1974.0,Brick 2 x 4 without Cross Supports
1975.0,Brick 1 x 2
1976.0,Brick 1 x 2
1977.0,Brick 1 x 2
1978.0,Brick 1 x 2
1979.0,Brick 1 x 2
1980.0,Brick 1 x 2
1981.0,Brick 1 x 2
1982.0,Brick 1 x 2
1983.0,Brick 1 x 2
1984.0,Brick 1 x 2
1985.0,Brick 1 x 2
1986.0,Plate 1 x 2
1987.0,Brick 1 x 2
1988.0,Plate 1 x 2
1989.0,Brick 1 x 2
1990.0,Brick 1 x 2
1991.0,Brick 1 x 2
1992.0,Brick 2 x 2
1993.0,Plate 1 x 2
1994.0,Plate 1 x 2
1995.0,Brick 1 x 2
1996.0,Brick 1 x 2
1997.0,Brick 2 x 2
1998.0,Brick 1 x 2
1999.0,Brick 1 x 2
2000.0,Brick 2 x 4
2001.0,Brick 1 x 2
2002.0,Brick 1 x 2
2003.0,Plate 1 x 1
2004.0,Brick 1 x 2
2005.0,Brick 1 x 2
2006.0,Brick 1 x 2
2007.0,Brick 1 x 1
2008.0,Brick 1 x 2
2009.0,Plate Round 1 x 1 with Solid Stud
2010.0,Brick 1 x 2
2011.0,Plate Round 1 x 1 with Solid Stud
2012.0,Plate Round 1 x 1 with Solid Stud
2013.0,Plate Round 1 x 1 with Solid Stud
2014.0,Plate Round 1 x 1 with Solid Stud
2015.0,Plate Round 1 x 1 with Solid Stud
2016.0,Plate 1 x 1
2017.0,Plate 1 x 2
2018.0,Plate 1 x 1
2019.0,Plate 1 x 2
2020.0,Plate Round 1 x 1 with Solid Stud
2021.0,Tile Round 1 x 1
2022.0,Plate 1 x 2
2023.0,Plate 1 x 2
